sep=;
Heure;Temperature;Conditions;Precipitations;Vitesse vent;Direction vent;Couverture nuageuse
0h;29°;Clair;0%;10-22 km/h;SE;0 %
1h;23°;Clair;0%;11-23 km/h;ESE;0 %
2h;29°;Clair;0%;8-16 km/h;SE;19 %
3h;29°;Clair;0%;7-14 km/h;SSE;17 %
4h;28°;Clair;0%;5-10 km/h;WSW;15 %
5h;27°;Clair;0%;8-17 km/h;NW;23 %
6h;26°;Ensoleillé;0%;1-2 km/h;NNW;9 %
7h;28°;Ensoleillé;0%;4-9 km/h;SSE;8 %
8h;30°;Ensoleillé;0%;5-10 km/h;SSE;4 %
9h;32°;Ensoleillé;0%;5-11 km/h;SE;0 %
10h;34°;Ensoleillé;0%;1-3 km/h;SE;0 %
11h;35°;Ensoleillé;0%;10-22 km/h;WNW;0 %
12h;34°;Ensoleillé;0%;14-29 km/h;WNW;0 %
13h;33°;Ensoleillé;0%;15-31 km/h;NW;0 %
14h;32°;Ensoleillé;0%;17-35 km/h;NNW;0 %
15h;32°;Ensoleillé;0%;14-30 km/h;NNW;0 %
16h;32°;Ensoleillé;0%;13-26 km/h;N;0 %
17h;31°;Ensoleillé;0%;16-33 km/h;N;0 %
18h;31°;Ensoleillé;0%;14-30 km/h;N;0 %
19h;30°;Ensoleillé;0%;11-23 km/h;NNE;0 %
20h;28°;Clair;0%;7-15 km/h;NE;0 %
21h;29°;Clair;0%;8-17 km/h;E;0 %
22h;29°;Clair;0%;8-17 km/h;ESE;0 %
23h;29°;Clair;0%;7-15 km/h;SE;0 %
